playerID,Season,Lg,G,AB,H,2B,3B,HR,BB,SO,HBP,SF,birthYear,Age,PA,BA,OBP,SLG,OPS,LgAvgOPS,OPS_plus_lg
abbotje01,1998,AL,89,244,68,14,1,12,9,28.0,0.0,5.0,1972.0,26.0,258.0,0.2786885245901639,0.29844961240310075,0.4918032786885246,0.7902528910916253,0.7651739152547002,103.27755237560304
abbotje01,2000,AL,80,215,59,15,1,3,21,38.0,2.0,1.0,1972.0,28.0,239.0,0.2744186046511628,0.34309623430962344,0.3953488372093023,0.7384450715189257,0.7945661656237024,92.93688851441038
abbotku01,1994,NL,101,345,86,17,3,9,16,98.0,5.0,2.0,1969.0,25.0,368.0,0.2492753623188406,0.2907608695652174,0.39420289855072466,0.6849637681159421,0.78018860351302,87.79463901827056
abbotku01,1995,NL,120,420,107,18,7,17,36,110.0,5.0,5.0,1969.0,26.0,466.0,0.25476190476190474,0.31759656652360513,0.4523809523809524,0.7699775189045575,0.7699160157069899,100.00798829954346
abbotku01,1996,NL,109,320,81,18,7,8,22,99.0,3.0,0.0,1969.0,27.0,345.0,0.253125,0.3072463768115942,0.428125,0.7353713768115941,0.7648190234465113,96.14972356437775
abbotku01,1997,NL,94,252,69,18,2,6,14,68.0,1.0,0.0,1969.0,28.0,267.0,0.27380952380952384,0.3146067415730337,0.43253968253968256,0.7471464241127163,0.7701996738154335,97.00684764140244
abbotku01,1999,NL,96,286,78,17,2,8,16,69.0,0.0,1.0,1969.0,30.0,303.0,0.2727272727272727,0.3102310231023102,0.43006993006993005,0.7403009531722402,0.791109209206504,93.57759264549262
abercre01,2006,NL,111,255,54,12,2,5,18,78.0,3.0,1.0,1980.0,26.0,277.0,0.21176470588235294,0.27075812274368233,0.3333333333333333,0.6040914560770156,0.79114311498106,76.35678610329278
abernbr01,2001,AL,79,304,82,17,1,5,27,35.0,0.0,1.0,1977.0,24.0,332.0,0.26973684210526316,0.32831325301204817,0.3815789473684211,0.7098922003804693,0.7656584802685902,92.71655949418097
abernbr01,2002,AL,117,463,112,18,4,2,25,46.0,6.0,2.0,1977.0,25.0,496.0,0.24190064794816415,0.28830645161290325,0.31101511879049676,0.5993215704034001,0.7576708641176727,79.10051696409437
abnersh01,1992,AL,97,208,58,10,1,1,12,35.0,3.0,3.0,1966.0,26.0,226.0,0.27884615384615385,0.3230088495575221,0.35096153846153844,0.6739703880190606,0.71078619029524,94.82041114770573
abreubo01,1997,NL,59,188,47,10,2,3,21,48.0,1.0,0.0,1974.0,23.0,210.0,0.25,0.32857142857142857,0.3723404255319149,0.7009118541033434,0.7701996738154335,91.00391469021916
abreubo01,1998,NL,151,497,155,29,6,17,84,133.0,0.0,4.0,1974.0,24.0,585.0,0.3118712273641851,0.40854700854700854,0.4969818913480885,0.905528899895097,0.7566591876555356,119.67460577605955
abreubo01,1999,NL,152,546,183,35,11,20,109,113.0,3.0,4.0,1974.0,25.0,662.0,0.33516483516483514,0.44561933534743203,0.5494505494505495,0.9950698847979815,0.791109209206504,125.78160805333735
abreubo01,2000,NL,154,576,182,42,10,25,100,116.0,1.0,3.0,1974.0,26.0,680.0,0.3159722222222222,0.4161764705882353,0.5538194444444444,0.9699959150326798,0.8017086460017242,120.99107573184307
abreubo01,2001,NL,162,588,170,48,4,31,106,137.0,1.0,9.0,1974.0,27.0,704.0,0.2891156462585034,0.3934659090909091,0.5425170068027211,0.9359829158936301,0.7830873910742876,119.52470778639291
abreubo01,2002,NL,157,572,176,50,6,20,104,117.0,3.0,6.0,1974.0,28.0,685.0,0.3076923076923077,0.4131386861313869,0.5209790209790209,0.9341177071104079,0.7613313059607093,122.69529701417738
abreubo01,2003,NL,158,577,173,35,1,20,109,126.0,2.0,7.0,1974.0,29.0,695.0,0.29982668977469673,0.40863309352517985,0.4679376083188908,0.8765707018440707,0.775651425066748,113.01090586775344
abreubo01,2004,NL,159,574,173,47,1,30,127,116.0,5.0,7.0,1974.0,30.0,713.0,0.30139372822299654,0.4277699859747546,0.5435540069686411,0.9713239929433957,0.7886054049439261,123.16983713958464
abreubo01,2005,NL,162,588,168,37,1,24,117,134.0,6.0,8.0,1974.0,31.0,719.0,0.2857142857142857,0.4047287899860918,0.4744897959183674,0.8792185859044592,0.7689117060276596,114.3458447845287
abreubo01,2006,AL,58,209,69,16,0,7,33,52.0,1.0,3.0,1974.0,32.0,246.0,0.33014354066985646,0.4186991869918699,0.507177033492823,0.9258762204846929,0.7807351492598766,118.59030829627785
abreubo01,2006,NL,98,339,94,25,2,8,91,86.0,2.0,6.0,1974.0,32.0,438.0,0.27728613569321536,0.4269406392694064,0.4336283185840708,0.8605689578534772,0.79114311498106,108.77538356307117
abreubo01,2007,AL,158,605,171,40,5,16,84,115.0,3.0,7.0,1974.0,33.0,699.0,0.28264462809917357,0.36909871244635195,0.4446280991735537,0.8137268116199057,0.7632147759116672,106.61832518217449
abreubo01,2008,AL,156,609,180,39,4,20,73,109.0,1.0,1.0,1974.0,34.0,684.0,0.2955665024630542,0.3713450292397661,0.47126436781609193,0.842609397055858,0.7577607605494875,111.19728559774498
abreubo01,2009,AL,152,563,165,29,3,15,94,113.0,1.0,9.0,1974.0,35.0,667.0,0.29307282415630553,0.38980509745127434,0.4351687388987567,0.824973836350031,0.7651080828848545,107.8244832075818
abreubo01,2010,AL,154,573,146,41,1,20,87,132.0,2.0,5.0,1974.0,36.0,667.0,0.2547993019197208,0.3523238380809595,0.43455497382198954,0.7868788119029491,0.739903247174629,106.34887938493303
abreubo01,2011,AL,142,502,127,30,1,8,78,113.0,1.0,3.0,1974.0,37.0,584.0,0.25298804780876494,0.3527397260273973,0.3645418326693227,0.7172815586967201,0.729092039014665,98.38011119502741
abreubo01,2012,NL,92,195,48,8,1,3,35,51.0,0.0,0.0,1974.0,38.0,230.0,0.24615384615384617,0.36086956521739133,0.3435897435897436,0.7044593088071349,0.7433550690373609,94.7675395177441
abreujo02,2014,AL,145,556,176,35,2,36,51,131.0,11.0,4.0,1987.0,27.0,622.0,0.31654676258992803,0.38263665594855306,0.5809352517985612,0.9635719077471143,0.706628206823978,136.36193665095814
abreujo02,2015,AL,154,613,178,34,3,30,39,140.0,15.0,1.0,1987.0,28.0,668.0,0.2903752039151713,0.3473053892215569,0.5024469820554649,0.8497523712770219,0.7358958768201682,115.47182122406115
abreujo02,2016,AL,159,624,183,32,1,25,47,125.0,15.0,9.0,1987.0,29.0,695.0,0.2932692307692308,0.35251798561151076,0.46794871794871795,0.8204667035602287,0.7482574784283111,109.6503178669982
abreujo02,2017,AL,156,621,189,43,6,33,35,119.0,15.0,4.0,1987.0,30.0,675.0,0.30434782608695654,0.3540740740740741,0.5523349436392915,0.9064090177133656,0.7590734100464898,119.40992869949854
abreujo02,2018,AL,128,499,132,36,1,22,37,109.0,11.0,6.0,1987.0,31.0,553.0,0.26452905811623245,0.325497287522604,0.4729458917835671,0.798443179306171,0.7340886900182475,108.7665823166849
abreujo02,2019,AL,159,634,180,38,1,33,36,152.0,13.0,10.0,1987.0,32.0,693.0,0.28391167192429023,0.33044733044733043,0.5031545741324921,0.8336019045798225,0.7710615936279408,108.11093581481886
abreujo02,2020,AL,60,240,76,15,0,19,18,59.0,3.0,1.0,1987.0,33.0,262.0,0.31666666666666665,0.3702290076335878,0.6166666666666667,0.9868956743002545,0.7907451109803848,124.80578894464203
abreujo02,2021,AL,152,566,148,30,2,30,61,143.0,22.0,10.0,1987.0,34.0,659.0,0.26148409893992935,0.3505311077389985,0.48056537102473496,0.8310964787637334,0.7349183852752843,113.08690807244166
abreuto01,2010,NL,81,193,45,11,1,1,4,47.0,0.0,4.0,1984.0,26.0,201.0,0.23316062176165803,0.24378109452736318,0.3160621761658031,0.5598432706931663,0.7457673180159473,75.06942945456277
ackledu01,2011,AL,90,333,91,16,7,6,40,79.0,0.0,3.0,1988.0,23.0,376.0,0.2732732732732733,0.3484042553191489,0.4174174174174174,0.7658216727365663,0.729092039014665,105.03772250366904
ackledu01,2012,AL,153,607,137,22,2,12,59,124.0,0.0,1.0,1988.0,24.0,667.0,0.2257001647446458,0.2938530734632684,0.32784184514003295,0.6216949186033014,0.7394681883190887,84.0732472909346
ackledu01,2013,AL,113,384,97,18,2,4,37,72.0,1.0,1.0,1988.0,25.0,423.0,0.2526041666666667,0.3191489361702128,0.3411458333333333,0.6602947695035462,0.7280036006456817,90.69938238188888
ackledu01,2014,AL,143,502,123,27,4,14,32,90.0,3.0,2.0,1988.0,26.0,539.0,0.2450199203187251,0.29313543599257885,0.398406374501992,0.6915418104945709,0.706628206823978,97.86501639989513
